Time,He-man,Supergirl
2026-01-27T22:56:00Z,21,50
2026-01-27T23:12:00Z,14,39
2026-01-27T23:28:00Z,19,38
2026-01-27T23:44:00Z,20,36
2026-01-28T00:00:00Z,25,40
2026-01-28T00:16:00Z,21,40
2026-01-28T00:32:00Z,17,25
2026-01-28T00:48:00Z,13,34
2026-01-28T01:04:00Z,17,31
2026-01-28T01:20:00Z,21,37
2026-01-28T01:36:00Z,27,46
2026-01-28T01:52:00Z,15,40
2026-01-28T02:08:00Z,14,45
2026-01-28T02:24:00Z,23,51
2026-01-28T02:40:00Z,22,38
2026-01-28T02:56:00Z,20,43
2026-01-28T03:12:00Z,32,37
2026-01-28T03:28:00Z,13,48
2026-01-28T03:44:00Z,22,44
2026-01-28T04:00:00Z,20,46
2026-01-28T04:16:00Z,21,46
2026-01-28T04:32:00Z,22,55
2026-01-28T04:48:00Z,31,54
2026-01-28T05:04:00Z,18,52
2026-01-28T05:20:00Z,23,60
2026-01-28T05:36:00Z,0,54
2026-01-28T05:52:00Z,0,68
2026-01-28T06:08:00Z,28,79
2026-01-28T06:24:00Z,24,41
2026-01-28T06:40:00Z,0,58
2026-01-28T06:56:00Z,48,52
2026-01-28T07:12:00Z,33,75
2026-01-28T07:28:00Z,0,68
2026-01-28T07:44:00Z,0,78
2026-01-28T08:00:00Z,0,66
2026-01-28T08:16:00Z,0,63
2026-01-28T08:32:00Z,0,97
2026-01-28T08:48:00Z,0,73
2026-01-28T09:04:00Z,0,100
2026-01-28T09:20:00Z,0,54
2026-01-28T09:36:00Z,0,84
2026-01-28T09:52:00Z,0,56
2026-01-28T10:08:00Z,0,63
2026-01-28T10:24:00Z,0,65
2026-01-28T10:40:00Z,0,66
2026-01-28T10:56:00Z,0,0
2026-01-28T11:12:00Z,0,43
2026-01-28T11:28:00Z,0,39
2026-01-28T11:44:00Z,0,0
2026-01-28T12:00:00Z,0,26
2026-01-28T12:16:00Z,0,23
2026-01-28T12:32:00Z,0,35
2026-01-28T12:48:00Z,0,30
2026-01-28T13:04:00Z,16,28
2026-01-28T13:20:00Z,0,30
2026-01-28T13:36:00Z,0,22
2026-01-28T13:52:00Z,15,29
2026-01-28T14:08:00Z,0,39
2026-01-28T14:24:00Z,13,28
2026-01-28T14:40:00Z,0,27
2026-01-28T14:56:00Z,14,23
2026-01-28T15:12:00Z,15,23
2026-01-28T15:28:00Z,12,21
2026-01-28T15:44:00Z,15,32
2026-01-28T16:00:00Z,23,27
2026-01-28T16:16:00Z,13,22
2026-01-28T16:32:00Z,14,32
2026-01-28T16:48:00Z,12,19
2026-01-28T17:04:00Z,11,31
2026-01-28T17:20:00Z,0,21
2026-01-28T17:36:00Z,16,20
2026-01-28T17:52:00Z,13,21
2026-01-28T18:08:00Z,16,26
2026-01-28T18:24:00Z,14,30
2026-01-28T18:40:00Z,12,28
2026-01-28T18:56:00Z,15,25
2026-01-28T19:12:00Z,11,25
2026-01-28T19:28:00Z,14,30
2026-01-28T19:44:00Z,11,30
2026-01-28T20:00:00Z,18,21
2026-01-28T20:16:00Z,20,31
2026-01-28T20:32:00Z,18,24
2026-01-28T20:48:00Z,13,21
2026-01-28T21:04:00Z,10,30
2026-01-28T21:20:00Z,9,29
2026-01-28T21:36:00Z,11,25
2026-01-28T21:52:00Z,0,27
2026-01-28T22:08:00Z,11,27
2026-01-28T22:24:00Z,13,34
2026-01-28T22:40:00Z,11,32
2026-01-28T22:56:00Z,14,34