"Time","Michael Jordan","Michael Jackson"
"2026-01-27T22:56:00Z",44,62
"2026-01-27T23:12:00Z",45,60
"2026-01-27T23:28:00Z",42,67
"2026-01-27T23:44:00Z",51,72
"2026-01-28T00:00:00Z",39,67
"2026-01-28T00:16:00Z",48,65
"2026-01-28T00:32:00Z",48,73
"2026-01-28T00:48:00Z",53,69
"2026-01-28T01:04:00Z",52,76
"2026-01-28T01:20:00Z",50,73
"2026-01-28T01:36:00Z",57,78
"2026-01-28T01:52:00Z",57,87
"2026-01-28T02:08:00Z",59,74
"2026-01-28T02:24:00Z",59,87
"2026-01-28T02:40:00Z",50,81
"2026-01-28T02:56:00Z",56,78
"2026-01-28T03:12:00Z",53,79
"2026-01-28T03:28:00Z",59,85
"2026-01-28T03:44:00Z",57,91
"2026-01-28T04:00:00Z",57,87
"2026-01-28T04:16:00Z",57,88
"2026-01-28T04:32:00Z",53,88
"2026-01-28T04:48:00Z",60,84
"2026-01-28T05:04:00Z",54,94
"2026-01-28T05:20:00Z",53,89
"2026-01-28T05:36:00Z",45,89
"2026-01-28T05:52:00Z",54,97
"2026-01-28T06:08:00Z",57,83
"2026-01-28T06:24:00Z",58,96
"2026-01-28T06:40:00Z",62,98
"2026-01-28T06:56:00Z",45,89
"2026-01-28T07:12:00Z",51,86
"2026-01-28T07:28:00Z",48,100
"2026-01-28T07:44:00Z",58,90
"2026-01-28T08:00:00Z",52,74
"2026-01-28T08:16:00Z",66,90
"2026-01-28T08:32:00Z",54,88
"2026-01-28T08:48:00Z",44,85
"2026-01-28T09:04:00Z",45,86
"2026-01-28T09:20:00Z",40,91
"2026-01-28T09:36:00Z",55,71
"2026-01-28T09:52:00Z",41,64
"2026-01-28T10:08:00Z",48,56
"2026-01-28T10:24:00Z",43,68
"2026-01-28T10:40:00Z",39,66
"2026-01-28T10:56:00Z",45,55
"2026-01-28T11:12:00Z",38,57
"2026-01-28T11:28:00Z",40,59
"2026-01-28T11:44:00Z",27,62
"2026-01-28T12:00:00Z",32,48
"2026-01-28T12:16:00Z",38,52
"2026-01-28T12:32:00Z",45,59
"2026-01-28T12:48:00Z",41,57
"2026-01-28T13:04:00Z",43,54
"2026-01-28T13:20:00Z",40,57
"2026-01-28T13:36:00Z",47,53
"2026-01-28T13:52:00Z",46,52
"2026-01-28T14:08:00Z",45,52
"2026-01-28T14:24:00Z",49,59
"2026-01-28T14:40:00Z",48,57
"2026-01-28T14:56:00Z",46,53
"2026-01-28T15:12:00Z",51,52
"2026-01-28T15:28:00Z",50,60
"2026-01-28T15:44:00Z",50,57
"2026-01-28T16:00:00Z",55,56
"2026-01-28T16:16:00Z",46,59
"2026-01-28T16:32:00Z",46,61
"2026-01-28T16:48:00Z",46,60
"2026-01-28T17:04:00Z",50,53
"2026-01-28T17:20:00Z",50,59
"2026-01-28T17:36:00Z",42,59
"2026-01-28T17:52:00Z",50,56
"2026-01-28T18:08:00Z",51,58
"2026-01-28T18:24:00Z",47,60
"2026-01-28T18:40:00Z",57,61
"2026-01-28T18:56:00Z",53,60
"2026-01-28T19:12:00Z",51,59
"2026-01-28T19:28:00Z",49,60
"2026-01-28T19:44:00Z",47,59
"2026-01-28T20:00:00Z",42,60
"2026-01-28T20:16:00Z",48,56
"2026-01-28T20:32:00Z",41,57
"2026-01-28T20:48:00Z",47,61
"2026-01-28T21:04:00Z",46,61
"2026-01-28T21:20:00Z",42,55
"2026-01-28T21:36:00Z",41,58
"2026-01-28T21:52:00Z",40,60
"2026-01-28T22:08:00Z",42,58
"2026-01-28T22:24:00Z",45,62
"2026-01-28T22:40:00Z",42,60
"2026-01-28T22:56:00Z",47,71