Time,boredom,busy
2026-01-27T22:56:00Z,7,74
2026-01-27T23:12:00Z,9,87
2026-01-27T23:28:00Z,6,88
2026-01-27T23:44:00Z,0,85
2026-01-28T00:00:00Z,4,86
2026-01-28T00:16:00Z,4,92
2026-01-28T00:32:00Z,0,73
2026-01-28T00:48:00Z,0,80
2026-01-28T01:04:00Z,4,81
2026-01-28T01:20:00Z,4,78
2026-01-28T01:36:00Z,4,79
2026-01-28T01:52:00Z,6,78
2026-01-28T02:08:00Z,5,79
2026-01-28T02:24:00Z,7,82
2026-01-28T02:40:00Z,6,76
2026-01-28T02:56:00Z,0,76
2026-01-28T03:12:00Z,5,80
2026-01-28T03:28:00Z,6,86
2026-01-28T03:44:00Z,6,86
2026-01-28T04:00:00Z,0,91
2026-01-28T04:16:00Z,7,86
2026-01-28T04:32:00Z,6,76
2026-01-28T04:48:00Z,6,87
2026-01-28T05:04:00Z,7,88
2026-01-28T05:20:00Z,8,83
2026-01-28T05:36:00Z,13,98
2026-01-28T05:52:00Z,0,77
2026-01-28T06:08:00Z,0,75
2026-01-28T06:24:00Z,0,79
2026-01-28T06:40:00Z,0,84
2026-01-28T06:56:00Z,0,81
2026-01-28T07:12:00Z,0,80
2026-01-28T07:28:00Z,0,78
2026-01-28T07:44:00Z,16,76
2026-01-28T08:00:00Z,0,93
2026-01-28T08:16:00Z,0,84
2026-01-28T08:32:00Z,0,100
2026-01-28T08:48:00Z,0,88
2026-01-28T09:04:00Z,0,70
2026-01-28T09:20:00Z,0,62
2026-01-28T09:36:00Z,0,90
2026-01-28T09:52:00Z,0,62
2026-01-28T10:08:00Z,0,59
2026-01-28T10:24:00Z,0,74
2026-01-28T10:40:00Z,0,73
2026-01-28T10:56:00Z,0,68
2026-01-28T11:12:00Z,0,60
2026-01-28T11:28:00Z,0,79
2026-01-28T11:44:00Z,0,85
2026-01-28T12:00:00Z,19,57
2026-01-28T12:16:00Z,0,75
2026-01-28T12:32:00Z,0,77
2026-01-28T12:48:00Z,0,79
2026-01-28T13:04:00Z,8,70
2026-01-28T13:20:00Z,0,82
2026-01-28T13:36:00Z,0,75
2026-01-28T13:52:00Z,9,79
2026-01-28T14:08:00Z,9,80
2026-01-28T14:24:00Z,6,86
2026-01-28T14:40:00Z,9,87
2026-01-28T14:56:00Z,6,88
2026-01-28T15:12:00Z,7,77
2026-01-28T15:28:00Z,7,79
2026-01-28T15:44:00Z,7,78
2026-01-28T16:00:00Z,10,74
2026-01-28T16:16:00Z,7,82
2026-01-28T16:32:00Z,6,95
2026-01-28T16:48:00Z,8,73
2026-01-28T17:04:00Z,4,88
2026-01-28T17:20:00Z,9,86
2026-01-28T17:36:00Z,8,85
2026-01-28T17:52:00Z,8,76
2026-01-28T18:08:00Z,7,80
2026-01-28T18:24:00Z,6,82
2026-01-28T18:40:00Z,7,87
2026-01-28T18:56:00Z,6,91
2026-01-28T19:12:00Z,4,83
2026-01-28T19:28:00Z,7,83
2026-01-28T19:44:00Z,6,90
2026-01-28T20:00:00Z,6,82
2026-01-28T20:16:00Z,9,79
2026-01-28T20:32:00Z,5,79
2026-01-28T20:48:00Z,9,79
2026-01-28T21:04:00Z,6,72
2026-01-28T21:20:00Z,4,87
2026-01-28T21:36:00Z,9,67
2026-01-28T21:52:00Z,10,81
2026-01-28T22:08:00Z,8,78
2026-01-28T22:24:00Z,7,89
2026-01-28T22:40:00Z,3,88
2026-01-28T22:56:00Z,0,77