Time,Marty Supreme,Weapons
2026-01-27T22:56:00Z,63,21
2026-01-27T23:12:00Z,67,22
2026-01-27T23:28:00Z,63,25
2026-01-27T23:44:00Z,65,25
2026-01-28T00:00:00Z,62,27
2026-01-28T00:16:00Z,72,25
2026-01-28T00:32:00Z,67,25
2026-01-28T00:48:00Z,69,30
2026-01-28T01:04:00Z,70,30
2026-01-28T01:20:00Z,69,32
2026-01-28T01:36:00Z,81,30
2026-01-28T01:52:00Z,68,29
2026-01-28T02:08:00Z,66,34
2026-01-28T02:24:00Z,79,34
2026-01-28T02:40:00Z,77,36
2026-01-28T02:56:00Z,86,29
2026-01-28T03:12:00Z,85,34
2026-01-28T03:28:00Z,100,36
2026-01-28T03:44:00Z,86,35
2026-01-28T04:00:00Z,85,31
2026-01-28T04:16:00Z,82,36
2026-01-28T04:32:00Z,84,31
2026-01-28T04:48:00Z,76,33
2026-01-28T05:04:00Z,91,30
2026-01-28T05:20:00Z,90,33
2026-01-28T05:36:00Z,94,34
2026-01-28T05:52:00Z,82,35
2026-01-28T06:08:00Z,90,41
2026-01-28T06:24:00Z,99,29
2026-01-28T06:40:00Z,76,25
2026-01-28T06:56:00Z,82,33
2026-01-28T07:12:00Z,88,29
2026-01-28T07:28:00Z,74,30
2026-01-28T07:44:00Z,67,25
2026-01-28T08:00:00Z,70,17
2026-01-28T08:16:00Z,46,21
2026-01-28T08:32:00Z,49,23
2026-01-28T08:48:00Z,45,27
2026-01-28T09:04:00Z,42,15
2026-01-28T09:20:00Z,40,14
2026-01-28T09:36:00Z,43,19
2026-01-28T09:52:00Z,37,14
2026-01-28T10:08:00Z,33,16
2026-01-28T10:24:00Z,22,15
2026-01-28T10:40:00Z,25,13
2026-01-28T10:56:00Z,36,0
2026-01-28T11:12:00Z,34,13
2026-01-28T11:28:00Z,29,12
2026-01-28T11:44:00Z,27,8
2026-01-28T12:00:00Z,33,0
2026-01-28T12:16:00Z,25,9
2026-01-28T12:32:00Z,30,11
2026-01-28T12:48:00Z,35,12
2026-01-28T13:04:00Z,35,13
2026-01-28T13:20:00Z,35,11
2026-01-28T13:36:00Z,29,15
2026-01-28T13:52:00Z,26,8
2026-01-28T14:08:00Z,34,9
2026-01-28T14:24:00Z,31,10
2026-01-28T14:40:00Z,30,11
2026-01-28T14:56:00Z,32,11
2026-01-28T15:12:00Z,35,13
2026-01-28T15:28:00Z,35,11
2026-01-28T15:44:00Z,33,11
2026-01-28T16:00:00Z,33,11
2026-01-28T16:16:00Z,35,12
2026-01-28T16:32:00Z,34,11
2026-01-28T16:48:00Z,33,12
2026-01-28T17:04:00Z,38,14
2026-01-28T17:20:00Z,37,10
2026-01-28T17:36:00Z,37,10
2026-01-28T17:52:00Z,35,11
2026-01-28T18:08:00Z,33,12
2026-01-28T18:24:00Z,35,13
2026-01-28T18:40:00Z,37,14
2026-01-28T18:56:00Z,44,11
2026-01-28T19:12:00Z,38,12
2026-01-28T19:28:00Z,43,13
2026-01-28T19:44:00Z,42,9
2026-01-28T20:00:00Z,44,12
2026-01-28T20:16:00Z,41,15
2026-01-28T20:32:00Z,42,13
2026-01-28T20:48:00Z,52,15
2026-01-28T21:04:00Z,39,15
2026-01-28T21:20:00Z,45,12
2026-01-28T21:36:00Z,44,13
2026-01-28T21:52:00Z,49,13
2026-01-28T22:08:00Z,53,18
2026-01-28T22:24:00Z,50,15
2026-01-28T22:40:00Z,50,17
2026-01-28T22:56:00Z,49,19